Chord,Notes
C-quartal trichord,G4 C4 D4
A-quartal tetramirror,G4 C4 D4 A4
E-quartal tetramirror,A4 D4 E4 G4
E-major pentatonic,A4 D4 E4 G4 B4
F-dominant seventh,A4 C4 E-4 F4
F#-diminished seventh,A4 C4 E-4 F#4
F#-half-diminished seventh,A4 C4 E4 F#4
F#-Kumoi pentachord,A4 C4 E4 F#4 B4
F-major-second major tetrachord,A4 C4 F4 G4
A-half-diminished seventh,A4 C4 E-4 G4
A-minor seventh,A4 C4 E4 G4
A-major pentatonic,A4 C4 E4 G4 D4
A-diminished-major ninth,A4 C4 E-4 G4 B-4
A-minor-ninth,A4 C4 E4 G4 B4
A-perfect-fourth minor tetrachord,A4 C4 D4 E4
A-major-second minor tetrachord,A4 C4 E4 B4
A-minor-augmented tetrachord,A4 C4 E4 G#4
A-enigmatic pentachord,A4 C4 E4 G#4 D4
A-quartal trichord,A4 B4 E4
D-quartal trichord,A4 D4 E4
B-quartal tetramirror,A4 D4 E4 B4
F#-quartal tetramirror,B4 E4 F#4 A4
F#-major pentatonic,B4 E4 F#4 A4 C#4
G-dominant seventh,B4 D4 F4 G4
G#-diminished seventh,B4 D4 F4 G#4
G#-half-diminished seventh,B4 D4 F#4 G#4
G#-Kumoi pentachord,B4 D4 F#4 G#4 C#4
G-major-second major tetrachord,B4 D4 G4 A4
B-half-diminished seventh,B4 D4 F4 A4
B-minor seventh,B4 D4 F#4 A4
B-major pentatonic,B4 D4 F#4 A4 E4
B-diminished-major ninth,B4 D4 F4 A4 C4
B-minor-ninth,B4 D4 F#4 A4 C#4
B-perfect-fourth minor tetrachord,B4 D4 E4 F#4
B-major-second minor tetrachord,B4 D4 F#4 C#4
B-minor-augmented tetrachord,B4 D4 F#4 B-4
B-enigmatic pentachord,B4 D4 F#4 B-4 E4
B-quartal trichord,B4 C#4 F#4
E-quartal trichord,B4 E4 F#4
C#-quartal tetramirror,B4 E4 F#4 C#4
